Konto|Unterkonto|NO_OF_RECS|Betrag
630018|1000|500.00|501139.75
634973|1000|591.00|1384818.53
634978|1000|109.00|101588.70
635018|1000|80.00|40467.43
635118|1000|114.00|-138350.75
635168|1000|114.00|-61305.34
644978|1000|1.00|3099.60
649978|1000|33.00|-90774.91
655218|1000|3.00|22662.14
670168|1000|29.00|-11190.89
670268|1000|1.00|1182.65
701068|1000|2.00|22540.30
701118|1000|1.00|420346.20
701168|1000|1.00|-579.96
701268|1000|1.00|5315.15
705068|1000|3.00|150470.15
705168|1000|21.00|75764.65
720168|1000|17.00|14239.72
720268|1000|23.00|10505.01
725068|1000|266.00|-481134.35
725268|1000|2.00|-2905.87
730068|1000|1.00|2937.33
730168|1000|3.00|2670.51
735068|1000|12.00|12697.61
735368|1000|2.00|4171.11
745068|1000|6.00|750531.18
745168|1000|34.00|639392.42
745268|1000|4.00|92758.90
750068|1000|4.00|0.00
750168|1000|7.00|-11570.59
750268|1000|181.00|59251.73
750468|1000|1.00|6091.97
750568|1000|2.00|3846.86
760068|1000|1.00|117798.18
760468|1000|2.00|1008665.17
799068|1000|9.00|1749692.24
799168|1000|1.00|-1096555.29
800068|1000|1.00|252356.92
802068|1000|1.00|-10637.02
805068|1000|5.00|1286822.65
805268|1000|3.00|8593.51
810068|1000|1.00|-1218.39
816068|1000|1.00|1569.66
825068|1000|5.00|-1741.70
899967|1000|40.00|-0.03
